Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Price Change,Volume Category,Weekday
2022-09-28 00:00:00-04:00,146.76929163348552,149.75159911601543,143.9858016160309,148.95631408691406,146691400,0.0,0.0,Down,High,2
2022-09-29 00:00:00-04:00,145.2384175105857,145.85475636015974,139.85036726935218,141.63975524902344,128138200,0.0,0.0,Down,Medium,3
2022-09-30 00:00:00-04:00,140.44680154345667,142.25607539453804,137.18614652081385,137.3849639892578,124925300,0.0,0.0,Down,Medium,4
2022-10-03 00:00:00-04:00,137.3949238392378,142.22626297013235,136.87798625194168,141.6099090576172,114311700,0.0,0.0,Up,Medium,0
2022-10-04 00:00:00-04:00,144.17469105610752,145.35767551304633,143.4092278482999,145.23838806152344,87830100,0.0,0.0,Up,Medium,1
2022-10-05 00:00:00-04:00,143.220360264566,146.51083724600878,142.16659883003666,145.53660583496094,79471000,0.0,0.0,Stable,Low,2
2022-10-06 00:00:00-04:00,144.9501057820799,146.6698991289563,144.36358885580452,144.5723419189453,68402200,0.0,0.0,Stable,Low,3
2022-10-07 00:00:00-04:00,141.6993882350486,142.25609847332984,138.62761461816123,139.2638397216797,85925600,0.0,0.0,Down,Medium,4
2022-10-10 00:00:00-04:00,139.5918731689453,141.05320507775005,137.75279261967714,139.5918731689453,74899000,0.0,0.0,Stable,Low,0
2022-10-11 00:00:00-04:00,139.0749424101852,140.51640326068497,137.4048573864025,138.16036987304688,77033700,0.0,0.0,Down,Low,1
2022-10-12 00:00:00-04:00,138.3095042379958,139.53224622980463,137.34522347010034,137.52415466308594,70433700,0.0,0.0,Stable,Low,2
2022-10-13 00:00:00-04:00,134.1939369576771,142.743211587585,133.57758293203688,142.14675903320312,113224000,0.0,0.0,Up,Medium,3
